category,filename,classification_basis
Robust Data Analytics,2017_MobiQuitous_Interpolating the Missing Values for Multi-Dimensional Spatial-Temporal Sensor Data A Tensor SVD Approach.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2017_SIGIR_Related or Duplicate Distinguishing Similar CQA Questions via Convolutional Neural Networks.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2018_ACM-TOIT_Duplicate Detection in Programming Question Answering Communities.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2020_AAAI_AdaCare Explainable Clinical Health Status Representation Learning via Scale-Adaptive Feature Extraction and Recalibration.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2020_AAAI_ConCare Personalized Clinical Feature Embedding via Capturing the Healthcare Context.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2021_ACM-HEALTH_Enabling Cost-Effective Population Health Monitoring by Exploiting Spatiotemporal Correlation An Empirical Study.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2021_IEEE-TCSS_Memory Augmented Hierarchical Attention Network for Next Point-of-Interest Recommendation.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2021_WWW_DistCare Distilling Knowledge from Publicly Available Online EMR Data to Emerging Epidemic for Prognosis.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2023_IEEE-TAI_Interpretable Machine Learning for COVID-19 An Empirical Study on Severity Prediction Task.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Attacking on DNNs,2020_ICDM_Generalizing Universal Adversarial Attacks Beyond Additive Perturbations.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Attacking on DNNs,2021_BMVC_Sparse Adversarial Video Attacks with Spatial Transformations.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Attacking on DNNs,2023_IEEE-IV_Adversarial Detection Attacking Object Detection in Real Time.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Attacking on DNNs,2023_IEEE-IV_Adversarial Driving Attacking End-to-End Autonomous Driving.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Attacking on DNNs,2023_MLJ_Generalizing universal adversarial perturbations for deep neural networks.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Attacking on DNNs,2024_MLJ_DIMBA discretely masked black-box attack in single object tracking.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Attacking on DNNs,2024_NeuralNetworks_Enhancing Robustness in Video Recognition Models Sparse Adversarial Attacks and Beyond.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Attacking on DNNs,2025_AAAI_A Black-Box Evaluation Framework for Semantic Robustness in Bird's Eye View Detection.pdf,"Adversarial example generation, universal and sparse attacks, and black-box robustness evaluation against DNN systems."
Defense on DNNs,2023_MICCAI_Self-adaptive Adversarial Training for Robust Medical Segmentation.pdf,"Adversarial training, fairness-aware robustness, backdoor defense, and robust task-specific DNN training."
Defense on DNNs,2024_CVPR_Boosting Adversarial Training via Fisher-Rao Norm-Based Regularization.pdf,"Adversarial training, fairness-aware robustness, backdoor defense, and robust task-specific DNN training."
Defense on DNNs,2024_CVPR_Towards Fairness-Aware Adversarial Learning.pdf,"Adversarial training, fairness-aware robustness, backdoor defense, and robust task-specific DNN training."
Defense on DNNs,2024_EMNLP-Findings_CROWD Certified Robustness via Weight Distribution for Smoothed Classifiers Against Backdoor Attack.pdf,"Adversarial training, fairness-aware robustness, backdoor defense, and robust task-specific DNN training."
Defense on DNNs,2024_MLJ_Nrat towards adversarial training with inherent label noise.pdf,"Adversarial training, fairness-aware robustness, backdoor defense, and robust task-specific DNN training."
Defense on DNNs,2025_ICCV_Adversarial Training for Probabilistic Robustness.pdf,"Adversarial training, fairness-aware robustness, backdoor defense, and robust task-specific DNN training."
Defense on DNNs,2026_CVPR_Logit-Margin Repulsion for Backdoor Defense.pdf,"Adversarial training, fairness-aware robustness, backdoor defense, and robust task-specific DNN training."
Verification on DNNs,2018_ASE_Concolic Testing for Deep Neural Networks.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2018_IJCAI_Reachability Analysis of Deep Neural Networks with Provable Guarantees.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2019_IJCAI_Global Robustness Evaluation of Deep Neural Networks with Provable Guarantees for the Hamming Distance.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2020_TCS_A game-based approximate verification of deep neural networks with provable guarantees.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2022_IEEE-TR_Coverage-Guided Testing for Recurrent Neural Networks.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2023_AAAI_Reachability Analysis of Neural Network Control Systems.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2023_AAAI_Towards Verifying the Geometric Robustness of Large-Scale Neural Networks.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2023_ACL-Findings_TextVerifier Robustness Verification for Textual Classifiers with Certifiable Guarantees.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2023_CIS_Quantifying safety risks of deep neural networks.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2023_ICASSP_Sora Scalable Black-Box Reachability Analyser on Neural Networks.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2024_ICASSP_DeepGRE Global Robustness Evaluation of Deep Neural Networks.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2024_JLAMP_Bridging formal methods and machine learning with model checking and global optimisation.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2024_MLJ_3DVerifier efficient robustness verification for 3D point cloud models.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Verification on DNNs,2025_MLJ_Verification on out-of-distribution detectors under natural perturbations.pdf,"Formal verification, reachability analysis, testing, certification, and quantitative safety evaluation of neural networks."
Robustness Theory of DNNs,2020_CCF-Report_中国计算机科学技术发展报告.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,"2020_CSR_A Survey of Safety and Trustworthiness of Deep Neural Networks Verification, Testing, Adversarial Attack and Defence, and Interpretability.pdf","General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2022_ECML-PKDD_PRoA A Probabilistic Robustness Assessment Against Functional Perturbations.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2022_ECML-PKDD_Understanding Adversarial Robustness of Vision Transformers via Cauchy Problem.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2022_Handbook_Deep Learning and Its Adversarial Robustness A Brief Introduction.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2023_AAAI_Certified Policy Smoothing for Cooperative Multi-Agent Reinforcement Learning.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2023_Book_Machine Learning Safety.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2024_AAAI_Representation-Based Robustness in Goal-Conditioned Reinforcement Learning.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2024_AAAI_Reward Certification for Policy Smoothed Reinforcement Learning.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2024_IJCAI_PRASS Probabilistic Risk-averse Robust Learning with Stochastic Search.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2024_NeurIPS_TARP-VP Towards Evaluation of Transferred Adversarial Robustness and Privacy on Label Mapping Visual Prompting Models.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Robustness Theory of DNNs,2024_NeurIPS_The Implicit Bias of Gradient Descent Toward Collaboration Between Layers A Dynamic Analysis of Multilayer Perceptrons.pdf,"General robustness foundations, probabilistic assessment, certified policies, optimization dynamics, surveys, and reference works."
Research on Generative Models,2024_ECCV_ProTIP Probabilistic Robustness Verification on Text-to-Image Diffusion Models Against Stochastic Perturbation.pdf,"Robustness, verification, trustworthiness, and backdoor risks of diffusion and other generative models."
Research on Generative Models,2026_AAAI_Fragile by Design On the Limits of Adversarial Defenses in Personalized Generation.pdf,"Robustness, verification, trustworthiness, and backdoor risks of diffusion and other generative models."
Research on Generative Models,2026_ICML_Position Generative Distributional Integrity against Backdoor Attacks.pdf,"Robustness, verification, trustworthiness, and backdoor risks of diffusion and other generative models."
Research on Generative Models,2026_InformationFusion_Trustworthy Text-to-Image Diffusion Models A Timely and Focused Survey.pdf,"Robustness, verification, trustworthiness, and backdoor risks of diffusion and other generative models."
Research on LLMs and VLMs,2024_AIR_A Survey of Safety and Trustworthiness of Large Language Models Through the Lens of Verification and Validation.pdf,"Safety, guardrails, jailbreak attacks and defenses, unlearning, and robustness of large language and vision-language models."
Research on LLMs and VLMs,2024_ICML_Position Building Guardrails for Large Language Models Requires Systematic Design.pdf,"Safety, guardrails, jailbreak attacks and defenses, unlearning, and robustness of large language and vision-language models."
Research on LLMs and VLMs,2026_ACL_Defending LLMs Against Jailbreak Attacks via Template-Based ICL with a Defensive Suffix.pdf,"Safety, guardrails, jailbreak attacks and defenses, unlearning, and robustness of large language and vision-language models."
Research on LLMs and VLMs,2026_ACL_Dictionary Guided Sparse Logit Editing for Reliable Jailbreak Attacks.pdf,"Safety, guardrails, jailbreak attacks and defenses, unlearning, and robustness of large language and vision-language models."
Research on LLMs and VLMs,2026_CVPR_Jailbreaking Vision-Language Models via Dissonance-Guided Suffix Optimization and Image-Phrase Injection.pdf,"Safety, guardrails, jailbreak attacks and defenses, unlearning, and robustness of large language and vision-language models."
Research on LLMs and VLMs,2026_NeurIPS_FALCON Fine-grained Activation Manipulation by Contrastive Orthogonal Unalignment for Large Language Model.pdf,"Safety, guardrails, jailbreak attacks and defenses, unlearning, and robustness of large language and vision-language models."
